stand;plot;mixture_stand;mixture_plot;cat_mixture_plot;G_all_plot;AEGCAU;ANTTRI;CARCAR;CERBRA;COCCOC;COLOEN;COLPAL;CORCOR;CUCCAN;DENMAJ;DENMED;DENMIN;ERIRUB;FICHYP;FRICOE;GARGLA;ORIORI;PARATE;PARCAE;PARCRI;PARMAJ;PARPAL;PHOPHO;PHYBON;PHYCOL;PHYSIB;PHYTRO;PICVIR;PRUMOD;REGIGN;REGREG;SITEUR;STRTUR;STUVUL;SYLATR;TROTRO;TURMER;TURPHI;TURVIS;SR_all;SR_Generalist1;SR_Oak;SR_Pine;SR_Generalist2;SR_Oak_Mixed;SR_Pine_Mixed;Abdce_all;Abdce_Generalist1;Abdce_Oak;Abdce_Pine;Abdce_Generalist2;Abdce_Oak_Mixed;Abdce_Pine_Mixed
50;50_3;79;36;mixed;25;0;0;0;1;0;0;0;0;0;0;1;0;1;0;5;0;0;0;2;0;1;0;1;3;2;1;0;0;0;0;0;1;0;2;2;1;1;0;0;15;12;3;0;9;3;0;25;21;4;0;17;4;0
61;61_1;65;42;mixed;25;1;0;0;2;0;0;0;0;0;1;2;0;2;0;4;0;0;0;2;1;0;0;1;2;3;0;0;0;0;0;1;1;0;0;0;1;0;1;0;15;10;3;2;8;2;0;25;18;5;2;16;2;0
61;61_2;65;31;mixed;25;0;0;0;1;0;0;0;0;0;1;0;0;2;0;4;0;0;0;0;1;2;0;1;0;4;2;0;1;0;0;0;1;0;0;1;1;0;0;0;13;11;1;1;7;4;0;22;20;1;1;15;5;0
61;61_3;65;39;mixed;25;0;1;0;1;1;0;0;0;0;1;1;0;0;0;4;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;1;0;0;4;0;1;0;0;0;13;9;3;1;8;1;0;20;16;3;1;15;1;0
75;75_1;26;39;mixed;32;0;0;0;0;1;0;1;0;0;0;1;0;1;0;5;0;0;0;2;1;2;0;0;1;0;1;0;0;0;2;0;2;1;0;1;0;3;1;0;16;11;4;1;7;3;1;26;19;6;1;14;3;2
75;75_2;26;44;mixed;32;0;1;0;1;0;0;0;0;0;1;0;0;1;1;4;0;0;0;2;1;2;0;0;1;1;1;0;0;0;0;0;1;0;0;1;2;2;0;0;16;13;2;1;9;4;0;23;19;3;1;14;5;0
75;75_3;26;12;pine;32;0;0;0;1;2;0;0;0;0;0;1;0;2;0;4;0;0;0;0;0;1;1;0;0;0;1;2;0;0;0;1;1;0;0;0;1;0;0;0;12;7;4;1;4;3;0;18;12;5;1;8;4;0
77;77_1;99;70;mixed;28;0;0;0;1;0;0;1;0;0;2;0;0;0;0;4;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0;0;1;1;0;1;0;11;10;1;0;7;3;0;16;14;2;0;11;3;0
77;77_2;99;70;mixed;28;0;1;0;1;1;0;2;0;1;1;1;0;1;0;4;0;0;0;1;0;2;0;1;1;1;2;0;0;0;0;0;2;0;0;1;0;0;0;0;17;13;4;0;11;2;0;24;19;5;0;16;3;0
77;77_3;99;42;mixed;28;0;0;0;1;0;0;0;0;2;1;0;0;3;0;4;0;0;0;3;0;1;1;0;0;4;2;1;0;0;0;1;1;0;0;1;1;2;0;0;16;12;3;1;8;4;0;29;23;5;1;18;5;0
79;79_1;99;62;mixed;25;0;1;0;2;0;0;0;0;0;1;0;0;0;0;3;0;0;0;2;0;1;0;0;1;3;0;0;0;0;0;0;2;0;0;1;1;0;0;0;11;9;2;0;7;2;0;18;14;4;0;12;2;0
79;79_2;99;84;oak;25;0;1;0;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;2;1;2;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;13;10;3;0;7;2;1;22;19;3;0;16;2;1
79;79_3;99;51;mixed;25;0;1;0;1;0;0;1;0;0;1;0;0;0;0;4;0;0;0;1;2;0;0;1;2;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;13;10;2;1;8;2;0;18;14;2;2;12;2;0
