classement systematique;FD Montargis;F Orléans et alentours;GNB;Vallees2007;n FE;Famille;Sous Famille;Tribu;Genre SousGenre;Genre;(SousGenre);Espèce SousEspèce;Espèce;SousEspèce;Auteur;France;code6;code4;code_sp;Genre SousGenre Espèce;Synonymous;Entomotec validation for the valley reference collection;J. COULON validation for the valley reference collection;altitude (Coulon et al, 2000);(2)altitude classes desender 1986;Altitude Jeannel;"altitude I (lowland-mountain;lowland-atpine)";altitude II (lowland-alpine);humidity (Coulon et al, 2000);humidity Jeannel;Freude Harde lohse  1976;humidity;habitat type desender etal 2008;consistensy (desender 2008);HK desender 1995;(10)habitat preference codes desender 1986;habitat type Jeannel;Habitat type Freude Harde lohse  1976;"habitat type 
(Coulon et al, 2000)";closeness 2;closeness 1;closeness.wing;RLK desender 1995;redlist categories desender etal 2008;(7)mean beetle size(mm) desender 1986;mean-beetle-size(mm)-desender-etal-2008 ou Hurka;Beetle size Ribera et al 1999;mean-beetle-size(mm);(8)wing developmental type desender 1986;Wing development Ribera et al.1999;Wing development Barbaro et al 2009;Wing morphology Cole et al.1999;wing-developmental-type-desender-etal-2008;Wing Hurka et al. 1996;Wing Turin et al. 2000;Wing Jeannel;hing wing development Baguette 1993;wing type;wing1;(9)main reprodutive period desender 1986;breeding season Ribera et al.1999;breeding season Cole et al.2002;Breeding season Barbaro et al 2009;Mating and ovoposition Turin et al 2000;Reproduction Luff 1998;breeding season den boer 1990;reproductive season butterfield 1996;Reproductive seasons Baguette 1993;Breeding season;overwintering Ribera et al.1999;overwintering Cole et al.2002;Overwintering Barbaro et al 2009;Overwintering Turin et al 2000;overwintering butterfield 1996;daily activity Ribera et al.l999.;daily activity Cole et al.2002.;Daily activity Barbaro et al 2009;Daily activity Turin at 2009;Daily activity Greenslade 1963;daily activity Luff 1978;duration of the life cycle Ribera et al.1999;life cycle Cole et al.1999;food of the adult Ribera et al 1999.;Feeding group Purtauf et al 2005;food of the adults Cole et al2002.;Diet Barbaro et al 2009;Diet Turin et al 2000;Diet Larochelle 1990;Diet Zetto ;Diet Freude Harde lohse  1976;Diet coleotteri carabidi 2005;Diet;Adult activity period Barbaro et al 2009;(3)soil type affinity desender 1986;(4)calc soil affinity desender 1986;(5)acid sand clay affinity desender 1986;(6)woodland cover desender 1986;(7)woodland type desender 1986;(8)river rivulets affinity desender 1986;(10)aridity index desender 1986;(11)minimal temp reaction desender 1986;(4)total distribution area desender 1986;Coulon observations;desender observations;Cole observation;Turin observations;Jeannel observations;larochelle observations;zetto observations;Luff observations;den boer observations;butterfield observations;loreau observations;general observations;closeness 1;closeness 2;humidity 1;humidity 2;;;
14;;;GNB;V;6067;Carabidae;Nebriinae;;Leistus (Leistus);Leistus;(Leistus);fulvibarbis;fulvibarbis;;Dejean, 1826;Présent;LeLefu;Lefu;lefu;Leistus (Leistus) fulvibarbis;;yes;;<=mountain;3;;lowland-mountain;lowland-alpine;hygrophilous;;thermophilous;hygrophilous;woodland eurytopic;indifferent;woodland (eurytopic);woodland (eurytopic);;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;6.8;6.8;;6-11,9;constantly macropterous;macropterous;macropterous;NA;macropter;;;;NA;macropterous;not.brachypterous;Summer-Autumn;autumn;NA;autumn breeder;autumn;;NA;;NA;autumn;adult and larvae or only larvae;NA;imago and larvae;NA;;nocturnal;NA;nocturnal;NA;NA;NA;one year;NA;mostly collembola;NA;NA;collembola;NA;NA;NA;;;carnivorous;early spring;Z+ZL;;;;;;2;3;euro-mediterranean;;;;;;;;;;;collembola;;forest;forest-eurytopic;eurytopic;eurytopic;;;
15;Fmontargis;;GNB;V;6103;Carabidae;Nebriinae;;Leistus (Pogonophorus);Leistus;(Pogonophorus);rufomarginatus;rufomarginatus;;(Duftschmid, 1812);Présent;LePoru;Leru;leru;Leistus (Pogonophorus) rufomarginatus;;no;;<= hill ;3;;lowland-hill ;lowland-hill ;indifferent;;;indifferent;woodland eurytopic;;woodland (eurytopic);woodland (eurytopic);;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;8.5;8.5;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Summer-Autumn;NA;NA;NA;autumn;;autumn;;NA;autumn;NA;NA;NA;imago;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;NA;NA;NA;"predator (collemboles;acariens)";NA;NA;;;carnivorous;NA;;;;;;;3;5;euro-caucasian;;;;passe l'été dans le bois mort;;;;;;;collembola;;forest;forest-eurytopic;eurytopic;eurytopic;;;
16;;;;V;6104;Carabidae;Nebriinae;;Leistus (Pogonophorus);Leistus;(Pogonophorus);spinibarbis;spinibarbis;;(Fabricius, 1775);Présent;LePosp;Lesp;lesp;Leistus (Pogonophorus) spinibarbis;;yes;;<=mountain;;;<=mountain;<=mountain;indifferent;;;indifferent;woodland-stenotopic;;heathland and bogs . woodland-stenotopic;5,8;;;;woodland-stenotopic;woodland-stenotopic;;vulnerable;vulnerable;8.3;8.3;;8.3;m;;;;macropter;;;;;macropter;;Summer-Autumn;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;collembola;NA;England (acarina collembola);NA;;;;;;;;;;;;-1;D;;;;;;;;;;;;;forest;forest-eurytopic;eurytopic;eurytopic;;;
106;;;;V;6135;Carabidae;Licininae;;Licinus (Licinus);Licinus;(Licinus);depressus;depressus;;(Paykull, 1790);Présent;LiLide;Lide;lide;Licinus (Licinus) depressus;taken there by flooding;yes;ind from the ref collection validated by J. Coulon;alpine;;;alpine;alpine;indifferent;;;indifferent;dunes and beaches;;dunes and beaches. calc grasslandss, stony slopes and other xerothermic habitats;16,18;;;;duinen et stranden(dunes and shores);duinen et stranden(dunes and shores);;rare;suspectible;10;10;;10;D-b;;;;dimorf;;;;;dimorf;;Summer-Autumn;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;predator (snail);NA;NA;;;;;;*;;;;;-2;-3;A;;;;;;;;;;;;;open-habitat;open-stenotopic;eurytopic;eurytopic;;;
58;;FD Orléans;GNB;V;6148;Carabidae;Platyninae;;Limodromus;Limodromus;(..);assimilis;assimilis;;(Paykull, 1790);Présent;Li..as;Lias;lias;Limodromus assimilis;"Platynus assimilis (Paykull, 1790) ; Agonum assimile ou Agonum assimilis cf Turin 2000";yes;;<= hill ;;;lowland-hill ;lowland-hill ;hygrophilous;;hygrophilous;hygrophilous;woodland stenotopic;indifferent;woodland (eurytopic);woodland (eurytopic);;;;woodland stenotopic;woodland;woodland-not.brachypterous;no risk;safe;11;11;;6-11,9;constantly macropterous;macropterous;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;spring;NA;NA;spring;;NA;;NA;spring;adult;NA;NA;larvae;;nocturnal;NA;NA;mainly nocturnal;NA;NA;one year;NA;generalist predator;carnivorous;NA;NA;NA;carnivorous in captivity;NA;;;carnivorous;NA;SL;;*;1; ;;;;paleartic;;pas trouvé dans 1986;;;;;;;;;;;forest;forest-stenotopic;hygrophilous;hygrophilous-stenotopic;;;
23;Fmontargis;FD Orléans;GNB;V;6165;Carabidae;Loricerinae;;Loricera;Loricera;(..);pilicornis;pilicornis;;(Fabricius, 1775);Présent;Lo..pi;Lopi;lopi;Loricera pilicornis;;yes;;<=mountain;;;lowland-mountain;lowland-alpine;hygrophilous;;;hygrophilous;moist habitat eurytopic;;other moist habitats (eurytopic);different humid habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;7;7;;6-11,9;constantly macropterous;macropterous;NA;macropterous;macropter;;;;macropterous;macropterous;not.brachypterous;Spring;summer;spring/summer;NA;spring;;spring;;spring;spring;adult;adult;NA;larvae;;diurnal and nocturnal;diurnal and noctural;NA;NA;plastic;mainly nocturnal;one year;1 year;mostly collembola;carnivorous;collembola specialists;NA;NA;predator (collembola, spider) and in England (pollen);NA;;;carnivorous;NA;;;;;;;;;circumpolar;;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-eurytopic;;;
39;Fmontargis;FD Orléans;GNB;V;6215;Carabidae;Trechinae;;Metallina (Metallina);Metallina;(Metallina);lampros;lampros;;(Herbst, 1784);Présent;MeMela;Mela;mela;Metallina (Metallina) lampros;Benbidion lampros (Herbst 1784);yes;BN det validated by J. coulon;<=mountain;3;;lowland-mountain;lowland-alpine;indifferent;;indifferent;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;3.5;3.5;;<6;dimorphic;dimorphic;NA;dimorphic;dimorf;;;;NA;polymorphic;not.brachypterous;Spring;spring;spring/summer;NA;spring;;NA;;NA;spring;adult;adult;NA;larvae;;diurnal;diurnal;NA;mainlt diurnal;diurnal;diurnal;one year;1 year;mostly collembola;carnivorous;collembola specialists;NA;predator (maggot, aphid);principally carnivorous;NA;;;carnivorous;NA;L+ZL;;;;;;2;3;paleartic;;;;;;;;;;;;;eurytopic;eurytopic;eurytopic;eurytopic;;;
40;;;;V;6216;Carabidae;Trechinae;;Metallina (Metallina);Metallina;(Metallina);properans;properans;;(Stephens, 1828);Présent;MeMepr;Mepr;mepr;Metallina (Metallina) properans;;yes;;<= hill ;2;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;moist-grassland;;moist grasslands;13;;;;moist-grassland;moist-grassland;;no risk;safe;3.8;3.8;;3.8;d;;;;dimorf;;;;;dimorf;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;carnivorous;NA;;;;;;;;;;;3;5;A;;"dans desender commme""benbidion properans""";;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-stenotopic;;;
118;Fmontargis;;;V;6252;Carabidae;Lebiinae;;Microlestes;Microlestes;(..);maurus;maurus;;(Sturm, 1827);Présent;Mi..ma;Mima;mima;Microlestes maurus;;yes;ZE det validated by J. Coulon (only 1 indiv) BN det not sent;<= hill ;-3;;<= hill ;<= hill ;indifferent;;;indifferent;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslandss, stony slopes and other xerothermic habitats. dry grasslands;18,14;;;;openland;openland;;rare;suspectible;2.6;2.6;;2.6;p-d;;;;polymorf;;;;;polymorf;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;England (collembola, acarina, pollen);NA;;;;;;*;;;;;;;C;;;;;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-eurytopic;;;
119;;;;V;6253;Carabidae;Lebiinae;;Microlestes;Microlestes;(..);minutulus;minutulus;;(Goeze, 1777);Présent;Mi..mi;Mimi;mimi;Microlestes minutulus;;yes;;<= hill ;;;<= hill ;<= hill ;indifferent;;;indifferent;dry-habitat-stenotopic;;different habitat in dry sandy soil-stenotopic;15;;;;dry-habitat-stenotopic;dry-habitat-stenotopic;;rare;suspectible;3.1;3.1;;3.1;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;predator;NA;;;;;;;;2;;;;;A;;;;;;;;;;;;;eurytopic;eurytopic;xerophilous;xerophilous-eurytopic;;;
120;;;GNB;;;;;;;Microlestes;;sp;;;;;Mi;Mi;misp;Microlestes sp.;;;;<= hill ;;;;;;;;;;;;;;;;;;-;;suspectible;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;;;NA;NA;NA;NA;NA;NA;;;NA;;;NA;NA;;;;;;;;;;;;;;;;;;;;;;eurytopic;eurytopic;xerophilous;xerophilous-eurytopic;;;
;Fmontargis;;GNB;;6343;Carabidae;Pterostichinae;Pterostichini;Molops;Molops;(..);piceus;piceus;;(Panzer, 1793);Présent;Mo..pi;Mopi;mopi;Molops piceus;;;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-brachypterous;vulnerable;suspectible;11,5;11.5;;6-11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;NA;brachypterous;brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;carnivorous;NA;NA;NA;NA;NA;;;carnivorous;NA;;;;;;;;;paleartic;;;;;;;;;;;;;forest;forest-stenotopic;eurytopic;eurytopic;;;
17;Fmontargis;FD Orléans;GNB;V;6451;Carabidae;Nebriinae;;Nebria (Nebria);Nebria;(Nebria);brevicollis;brevicollis;;(Fabricius, 1792);Présent;NeNebr;Nebr;nebr;Nebria (Nebria) brevicollis;;yes;;<= hill ;;;lowland-hill ;lowland-hill ;indifferent;;hygrophilous;xerophilous;dry habitat eurytopic;dry;other dry habitats (eurytopic);different dry habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;11.5;11.5;;6-11,9;constantly macropterous;macropterous;macropterous;macropterous;macropter;;;;macropterous;macropterous;not.brachypterous;Summer-Autumn;autumn;autumn/winter;autumn breeder;autumn;;autumn;;autumn;autumn;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;NA;;nocturnal;nocturnal;nocturnal;mainly nocturnal;nocturnal;nocturnal;one year;1 year;generalist predator;carnivorous;generalist predators;generalist predators;NA;generalist predator;NA;;;carnivorous;early spring;;;;;;;;;western palaertic;;;;;;;;;;;;;forest;forest-eurytopic;eurytopic;eurytopic;;;
18;;;GNB;V;6528;Carabidae;Nebriinae;;Nebria (Nebria);Nebria;(Nebria);salina;salina;;Fairmaire & Laboulbène, 1854;Présent;NeNesa;Nesa;nesa;Nebria (Nebria) salina;;yes;; hill ;2;;lowland-hill ;lowland-hill ;indifferent;;xerophilous;xerophilous;dry sandy grassland;dry;dry grasslands;dry grasslands;;;;openland;openland;openland-not.brachypterous;no risk;safe;10.8;10.8;;6-11,9;constantly macropterous;macropterous;macropterous;macropterous;macropter;;;;NA;macropterous;not.brachypterous;Summer-Autumn;autumn;autumn/winter;autumn breeder;autumn;;autumn;autumn;NA;autumn;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;imago;;nocturnal;nocturnal;nocturnal;mainly nocturnal;NA;NA;one year;1 year;generalist predator;carnivorous;generalist predators;generalist predators;NA;NA;NA;;;carnivorous;early spring;Z+ZL;;;;;;2;4;entirely european;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
;;;GNB;;;Carabidae;Nebriinae;;Nebria (Nebria);Nebria;;;sp.;;;;Nesp;Nesp;nesp;Nebria (Nebria) sp.;;;;;;;;;;;;;;;;;;;;;;-;;;;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;NA;;;;NA;NA;NA;NA;NA;NA;;;NA;;;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Fmontargis;FD Orléans;GNB;V;6672;Carabidae;Nebriinae;;Notiophilus;Notiophilus;(..);biguttatus;biguttatus;;(Fabricius, 1779);Présent;No..bi;Nobi;nobi;Notiophilus biguttatus;;yes;;<=mountain;;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland eurytopic;;woodland (eurytopic);woodland (eurytopic);;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;4.5;4.8;;<6;dimorphic;dimorphic;dimorphic;dimorphic;dimorf;;;;dimorphic;polymorphic;not.brachypterous;Spring;summer;spring/summer;summer breeder;spring;;autumn;;spring;spring;adult and larvae or only larvae;adult and larvae or only larvae;imago and larvae;larvae;;diurnal;diurnal;diurnal;mainly diurnal;diurnal;diurnal;one year;1 year;mostly collembola;carnivorous;collembola specialists;collembola;predator (collemboles);Collembola - acarina;NA;;;carnivorous;late spring;;;;1;;;;;euro-caucasian;;;;régime alimentaire donné au niveau du genre;;;;;;;arthropods;;forest;forest-eurytopic;eurytopic;eurytopic
20;Fmontargis;;GNB;V;6679;Carabidae;Nebriinae;;Notiophilus;Notiophilus;(..);palustris;palustris;;(Duftschmid, 1812);Présent;No..pa;Nopa;nopa;Notiophilus palustris;;yes;;<=mountain;2;;lowland-mountain;lowland-alpine;hygrophilous;;;hygrophilous;moist habitat eurytopic;;other moist habitats (eurytopic);different humid habitats (eurytopic);;;;generalist;generalist;generalist-not.brachypterous;no risk;safe;4.8;4.8;;<6;dimorphic;NA;NA;dimorphic;dimorf;;;;NA;polymorphic;not.brachypterous;Spring;NA;autumn/winter;NA;spring;;spring;;NA;spring;NA;adult and larvae or only larvae;NA;larvae;;NA;diurnal;NA;mainly diurnal;NA;NA;NA;1 year;NA;carnivorous;collembola specialists;NA;predator (collemboles);Collembola - acarina;NA;;;carnivorous;NA;;;;;;;3;5;paleartic;;;;régime alimentaire donné au niveau du genre;;;;;;;arthropods;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic
21;Fmontargis;FD Orléans;GNB;;6682;Carabidae;Nebriinae;;Notiophilus;Notiophilus;;rufipes;rufipes;;Curtis, 1829;Présent;Noru;Noru;noru;Notiophilus rufipes;;;;<=mountain;;;lowland-mountain;lowland-alpine;hygrophilous;;thermophilous;hygrophilous;woodland eurytopic;moist;woodland (stenotopic);woodland (stenotopic);;;;woodland eurytopic;woodland;woodland-not.brachypterous;no risk;safe;4.8;5.3;;<6;constantly macropterous;NA;dimorphic;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;summer breeder;spring;;spring;;NA;spring;NA;NA;imago only;NA;;NA;NA;diurnal;mainly diurnal;diurnal;NA;NA;NA;NA;NA;NA;collembola;predator (collemboles);mixed (collembola - acarina - spores - pollen);NA;;;carnivorous;early spring;;;;;;;;;western palaertic;;;;régime alimentaire donné au niveau du genre;;;;;;;arthropods;;forest;forest-eurytopic;hygrophilous;hygrophilous
22;;;GNB;;6683;Carabidae;Nebriinae;;Notiophilus;Notiophilus;(..);substriatus;substriatus;;C.R. Waterhouse, 1833;Présent;No..su;Nosu;nosu;Notiophilus substriatus;;yes;;<=mountain;3;;lowland-mountain;lowland-alpine;indifferent;;often thermophilous;xerophilous;dry sandy grassland;dry;dry grasslands;dry grasslands;;;;openland;openland;openland-not.brachypterous;no risk;safe;4.5;4.5;;<6;constantly macropterous;apterous or brachipterous;NA; apterous or brachypterous;macropter;;;;NA;macropterous;not.brachypterous;Spring;spring;spring/summer;NA;spring;;NA;;NA;spring;adult;adult;NA;NA;;diurnal;diurnal;NA;NA;diurnal;NA;one year;1 year;mostly collembola;NA;collembola specialists;NA;predator (collemboles);mixed (collembola - acarina - spores);NA;;;carnivorous;NA;;;;;;;3;2;euro-mediterranean;;;;régime alimentaire donné au niveau du genre;;;;;;;arthropods;;open-habitat;open-eurytopic;xerophilous;xerophilous-eurytopic
65;;;;V;6957;Carabidae;Platyninae;;Olisthopus;Olisthopus;(..);rotundatus;rotundatus;;(Paykull, 1798);Présent;Ol..ro;Olro;olro;Olisthopus rotundatus;;yes;;NA;;;NA;NA;NA;;;NA;dry-heathlend;;heatland and bogs. different habitat in dry sandy soil-stenotopic;8,15;;;;dry-heathlend;dry-heathlend;;vulnerable;suspectible;6.6;6.6;;6.6;d;;;;dimorf;;;;;dimorf;;Summer-Autumn;;;;;;;;;;;;;;;;;;;;;;;generalist predator;NA;generalist predators;NA;NA;NA;NA;;;;;;;;;;;;;C;pas dans Coulon;;;;;;;;;;;;open-habitat;open-eurytopic;xerophilous;xerophilous-stenotopic
112;;;;V;6986;Carabidae;Oodinae;;Oodes;Oodes;(..);helopioides;helopioides;;(Fabricius, 1792);Présent;Oo..he;Oohe;oohe;Oodes helopioides;;yes;;<= hill ;2;;<= hill ;<= hill ;palustrine;;;palustrine;moist-grassland;;marshes. Eutrophic standing water;10,2;;;;moist-grassland;moist-grassland;;no risk;safe;8.5;8.5;;8.5;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;Carnivorous (cannibalism possible);carnivorous;NA;;;;;;;;;;;4;4;A;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-stenotopic
88;;;;V;6989;Carabidae;Harpalinae;;Ophonus (Hesperophonus);Ophonus;(Hesperophonus);azureus;azureus;;(Fabricius, 1775);Présent;OpHeaz;Opaz;opaz;Ophonus (Hesperophonus) azureus;;yes;;<= hill ;-3;;<= hill ;<= hill ;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslands, stony slopes and other xerothermic habitats;18;;;;openland;openland;;extinct in FL;endangered;8;8;;8;d;;;;dimorf;;;;;dimorf;;mainly Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;phytophagous (seed);NA;mixed in experiment;;;;;SL;*;;;;;-2;-3;A;;"dans desender ""Harpalus azureus""";;régime alimentaire donné au niveau du genre;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-eurytopic
86;;;;V;7011;Carabidae;Harpalinae;;Ophonus (Metophonus);Ophonus;(Metophonus);melletii;melletii;;(Heer, 1837);Présent;Ophonus (Metophonus) melletii;Opme;opme;Ophonus (Metophonus) melletii;;no;BN det validated by J. Coulon;<= hill ;;;<= hill ;<= hill ;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc grasslands, stony slopes and other xerothermic habitats;18;;;;openland;openland;;indeterminate;suspectible;6.5;6.5;;6.5;m;;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;phytophagous (seed);NA;NA;;;;;;;;;;;;;B;;"dans desender ""Harpalus melletii""";;régime alimentaire donné au niveau du genre;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-stenotopic
87;;;;V;7018;Carabidae;Harpalinae;;Ophonus (Metophonus);Ophonus;(Metophonus);schaubergerianus;schaubergerianus;;(Puel, 1937);Présent;Ophonus (Metophonus) schaubergerianus;Opsc;opsc;Ophonus (Metophonus) schaubergerianus;;no;BN det validated by J. Coulon;<= hill ;;;<= hill ;<= hill ;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;different habitats on dry sandy soil-stenotopic;;;;;openland;openland;;no risk; -;;8.8;;8.8;;;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;phytophagous (seed);NA;NA;;;;;;;;;;;;;;;"dans desender ""Harpalus rufibarbis""";;régime alimentaire donné au niveau du genre;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-stenotopic
84;;;;V;7025;Carabidae;Harpalinae;;Ophonus (Ophonus);Ophonus;(Ophonus);ardosiacus;ardosiacus;;(Lutshnik, 1922);Présent;OpOpar;Opar;opar;Ophonus (Ophonus) ardosiacus;;no;BN det validated by J. Coulon;<= hill ;-3;;<= hill ;<= hill ;thermophilous;;;xerophilous;chalk grasslands, stony slopes and other xerothermic habitats;;calc-grasslands, stony slopes and other xerothermic habitats;18;;;;openland;openland;;?;suspectible;11.5;11.5;;11.5;m;;;;macropter;;;;;macropter;;Summer-Autumn;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;phytophagous (seed);NA;phytophagous (Daucus carota);;;;;SL;*;;;;;;;B;"dans coulon ""ardosianus""";"dans desender ""Harpalus ardosiacus""";;régime alimentaire donné au niveau du genre;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-stenotopic
57;;;;V;7159;Carabidae;Platyninae;;Oxypselaphus;Oxypselaphus;(..);obscurus;obscurus;;(Herbst, 1784);Présent;Ox..ob;Oxob;oxob;Oxypselaphus obscurus;Anchus obscurrus in Jeannel;yes;;<= hill ;3;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;moist-habitat-eurytopic;;moist-habitat-eurytopic;20;;;;moist-habitat-eurytopic;moist-habitat-eurytopic;;no risk;safe;5.4;5.4;;5.4;d;;;;dimorf;;;;;dimorf;;mainly Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;generalist predators;mixed (collembola, mite, diptera larva), partially phytophagous;NA;NA;;;;;Z+ZL;;;;;;2;5;F;;pas dans desender;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic
114;Fmontargis;;GNB;V;7169;Carabidae;Panagaeinae;;Panagaeus (Panagaeus);Panagaeus;(Panagaeus);bipustulatus;bipustulatus;;(Fabricius, 1775);Présent;PaPabi;Pabi;pabi;Panagaeus (Panagaeus) bipustulatus;;yes;;<= hill ;;;lowland-hill ;lowland-hill ;hygrophilous;;xerophilous;xerophilous;dry grassland stenotopic;dry;different habitat on dry sandy soil (stenotopic);different habitats on dry sandy soil;;;;openland;openland;openland-not.brachypterous;no risk;suspectible;7;7;;6-11,9;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;larvae;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;predator;carnivorous;NA;;*;;;;;;;western palaertic;;;;;;;;;;;;;open-habitat;open-stenotopic;xerophilous;xerophilous-eurytopic
113;;;;V;7170;Carabidae;Panagaeinae;;Panagaeus (Panagaeus);Panagaeus;(Panagaeus);cruxmajor;cruxmajor;;(Linnaeus, 1758);Présent;PaPacr;Pacr;pacr;Panagaeus (Panagaeus) cruxmajor;;yes;;<= hill ;;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;moist-grassland;;moist grasslands;13;;;;moist-grassland;moist-grassland;;near threatened;safe;8.3;8.3;;8.3;m;;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;A;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-eurytopic
31;;;;V;7208;Carabidae;Trechinae;;Paratachys;Paratachys;;bistriatus;bistriatus;;(Duftschmid, 1812);Présent;Pabi;Pabi;prbi;Paratachys bistriatus;;no;ZE det validated to J. coulon;<= hill ;;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;eutrophic-standing-water;;river and rivulet banks;;;;;eutrophic-standing-water;eutrophic-standing-water;;endangered;endangered;;1.9;;1.9;;;;;macropter;;;;;macropter;;;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;"dans coulon ""tachys""";"dans desender ""Tachys bistriatus""";;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic
85;;;GNB;V;7243;Carabidae;Harpalinae;;Parophonus (Parophonus);Parophonus;(Parophonus);maculicornis;maculicornis;;(Duftschmid, 1812);Présent;Parophonus (Parophonus) maculicornis;Pama;pama;Parophonus (Parophonus) maculicornis;;no;BN det validated by J. Coulon;<= hill ;2;;lowland-hill ;lowland-hill ;hygrophilous;;;hygrophilous;moist grassland;;dry grasslands and moist grasslands;wet grassland;;;;openland;openland;openland-not.brachypterous;vulnerable;suspectible;6;6;;<6;constantly macropterous;NA;NA;NA;macropter;;;;NA;macropterous;not.brachypterous;Spring;NA;NA;NA;spring;;NA;;NA;spring;NA;NA;NA;NA;;NA;NA;NA;nocturnal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;omnivorous;omnivorous;NA;L;;;;;;3;4;paleartic;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-eurytopic
