plot_Ptrap_per;plot_Ptrap;plot;Ptrap;period;Perturbation;selection
139-2_PN_4;139-2_PN;139-2;PN;4;Ok;1
139-2_PS_4;139-2_PS;139-2;PS;4;Ok;1
139-2_PW_4;139-2_PW;139-2;PW;4;Ok;1
139-4_PE_4;139-4_PE;139-4;PE;4;T;1
139-4_PN_4;139-4_PN;139-4;PN;4;T;1
139-4_PS_4;139-4_PS;139-4;PS;4;Ok;1
139-4_PW_4;139-4_PW;139-4;PW;4;OK;1
144-3_PE_4;144-3_PE;144-3;PE;4;HS;0
144-3_PN_4;144-3_PN;144-3;PN;4;HS;0
144-3_PS_4;144-3_PS;144-3;PS;4;HS;0
144-3_PW_4;144-3_PW;144-3;PW;4;HS;0
166-2_PE_4;166-2_PE;166-2;PE;4;HS;0
166-2_PN_4;166-2_PN;166-2;PN;4;HS;0
166-2_PS_4;166-2_PS;166-2;PS;4;Ok;1
166-2_PW_4;166-2_PW;166-2;PW;4;OK;1
166-4_PE_4;166-4_PE;166-4;PE;4;OK;1
166-4_PN_4;166-4_PN;166-4;PN;4;OK;1
166-4_PS_4;166-4_PS;166-4;PS;4;OK;1
166-4_PW_4;166-4_PW;166-4;PW;4;OK;1
215-2_PE_4;215-2_PE;215-2;PE;4;OK;1
215-2_PN_4;215-2_PN;215-2;PN;4;OK;1
215-2_PS_4;215-2_PS;215-2;PS;4;OK;1
215-2_PW_4;215-2_PW;215-2;PW;4;OK;1
215-3_PE_4;215-3_PE;215-3;PE;4;OK;1
215-3_PN_4;215-3_PN;215-3;PN;4;OK;1
215-3_PS_4;215-3_PS;215-3;PS;4;OK;1
215-3_PW_4;215-3_PW;215-3;PW;4;OK;1
216-4_PE_4;216-4_PE;216-4;PE;4;HS;0
216-4_PN_4;216-4_PN;216-4;PN;4;OK;1
216-4_PS_4;216-4_PS;216-4;PS;4;OK;1
216-4_PW_4;216-4_PW;216-4;PW;4;OK;1
219-1_PE_4;219-1_PE;219-1;PE;4;Ok;1
219-1_PN_4;219-1_PN;219-1;PN;4;Ok;1
219-1_PS_4;219-1_PS;219-1;PS;4;Ok;1
219-1_PW_4;219-1_PW;219-1;PW;4;Ok;1
219-4_PE_4;219-4_PE;219-4;PE;4;Ok;1
