parcelle;nichoir;n nichoir;plot;cercle;nichoir-cercle;Ptrap;plot_Ptrap;MEL_cercle;MEL_cercle_cat;MEL;Mel_cat;Hmoy;BOULV;CHAR;CHAT;CHP;CHS;CHSP;CH_tot;AUB;GEN;NEF;POM;PS;TREM;G_Ch_PS;ALT;latitude;longitude;nichoir selec polytrap;veg1;taux_veg1;veg2;taux_veg2;hmax;hinter;hmin;hmoy;hsd
166;1662;2;166-2;N;1662-N;PN;166-2_PN;48;MEL_c;66;MEL;25.1;7.8;0;0;0;4.7;0;4.7;0;0;0;0;5;0;9.7;0.2;47.8;2.5;1;FA;80;MOL;10;23.2;23.2;22.2;22.9;0.6
166;1662;2;166-2;S;1662-S;PS;166-2_PS;21;PS_dom_c;66;MEL;25.1;0;0;0;0;5.4;0;5.4;0;0;0;0;20.1;0;25.5;0.2;47.8;2.5;1;FA;70;MOL;30;28.1;27.5;26.9;27.5;0.6
166;1662;2;166-2;W;1662-W;PW;166-2_PW;81;CH_dom_c;66;MEL;25.1;0;0;0;0;21.1;0;21.1;0;0;0;0;5;0;26.1;0.4;47.8;2.5;1;FA;70;MOL;30;24.9;24.7;23.3;24.3;0.9
166;1664;4;166-4;E;1664-E;PE;166-4_PE;68;MEL_c;66;MEL;26.6;0;0;0;0;21.9;0;21.9;0;0;0;0;10.4;0;32.3;1.9;47.8;2.5;1;FA;70;MOL;10;26.5;26.4;26;26.3;0.3
166;1664;4;166-4;N;1664-N;PN;166-4_PN;100;CH_pur_c;66;MEL;26.6;0;0;0;0;20;0;20;0;0;0;0;0;0;20;0;47.8;2.5;1;FA;90;NA;NA;27.8;27.8;27.6;27.7;0.1
166;1664;4;166-4;S;1664-S;PS;166-4_PS;100;CH_pur_c;66;MEL;26.6;0;0;0;0;19.8;0;19.8;0;0;0;0;0;0;19.8;0.9;47.8;2.5;1;FA;60;MOL;40;27.9;27.2;27.1;27.4;0.4
166;1664;4;166-4;W;1664-W;PW;166-4_PW;71;CH_dom_c;66;MEL;26.6;2.8;0;0;0;12.8;2.7;15.5;0;0;0;0;6.2;0;21.7;0.9;47.8;2.5;1;FA;70;MOL;30;24.9;24.9;24.5;24.8;0.2
215;2152;2;215-2;E;2152-E;PE;215-2_PE;9.6;PS_pur_c;20.6;PS_dom;22.8;0;0;0;2.7;0;1.9;4.6;0;0;0;0;43.5;0;48.1;0;47.8;2.4;1;MOL;70;CAL;20;21.8;21.5;21.5;21.6;0.2
215;2152;2;215-2;N;2152-N;PN;215-2_PN;46.8;MEL_c;20.6;PS_dom;22.8;0;3;0;2.7;8.1;7.3;18.1;0;0;0;0;20.6;0;38.7;0;47.8;2.4;1;FA;40;MOL;20;24.9;24.9;24.5;24.8;0.2
215;2152;2;215-2;S;2152-S;PS;215-2_PS;61.2;MEL_c;20.6;PS_dom;22.8;0;0;0;5.4;0;10.4;15.8;0;0;0;0;10;0;25.8;0;47.8;2.4;1;MOL;80;FA;20;21.5;20.8;20.2;20.8;0.7
215;2152;2;215-2;W;2152-W;PW;215-2_PW;8.8;PS_pur_c;20.6;PS_dom;22.8;0;0;0;2.6;0;0;2.6;0;0;0;0;27;0;29.6;0;47.8;2.4;1;FA;50;CAL;30;24.3;24.1;23.9;24.1;0.2
215;2153;3;215-3;E;2153-E;PE;215-3_PE;0;PS_pur_c;21;PS_dom;23.6;6.5;0;0;0;0;0;0;0;0;0;0;24.2;0;24.2;0;47.8;2.4;1;FA;50;BRYO;30;24.8;24.7;24.6;24.7;0.1
215;2153;3;215-3;N;2153-N;PN;215-3_PN;0;PS_pur_c;21;PS_dom;23.6;7.3;0;0;0;0;0;0;0;0;0;0;2.8;0;2.8;0;47.8;2.4;1;FA;60;MOL;40;21;20.9;20.9;20.9;0.1
215;2153;3;215-3;S;2153-S;PS;215-3_PS;13;PS_dom_c;21;PS_dom;23.6;0;0;0;4.3;0;0;4.3;0;0;0;0;29;0;33.3;0;47.8;2.4;1;FA;70;NA;NA;25;24.7;24.7;24.8;0.2
215;2153;3;215-3;W;2153-W;PW;215-3_PW;17;PS_dom_c;21;PS_dom;23.6;0;0;0;1.6;1.6;1.6;4.8;0;0;0;0;23;0;27.8;0;47.8;2.4;1;MOL;60;BRYO;30;24.2;24.1;24.1;24.1;0.1
216;2164;4;216-4;E;2164-E;PE;216-4_PE;55;MEL_c;21;PS_dom;20.5;0;0;0;0;11.3;0.4;11.7;0;0;0;0;9.7;0;21.4;0;47.8;2.5;1;MOL;70;FA;10;22.4;20.9;20.8;21.4;0.9
216;2164;4;216-4;N;2164-N;PN;216-4_PN;5;PS_pur_c;21;PS_dom;20.5;0;0;0;1.9;0;0;1.9;0;0;0;0;33.6;0;35.5;2.8;47.8;2.5;1;FA;50;MOL;50;19.9;19.8;19.5;19.7;0.2
216;2164;4;216-4;S;2164-S;PS;216-4_PS;85;CH_dom_c;21;PS_dom;20.5;0;0;0;0;6.2;6.5;12.7;0;0;0;0;2.2;0;14.9;0;47.8;2.5;1;MOL;75;FA;25;20.5;20.3;20.1;20.3;0.2
216;2164;4;216-4;W;2164-W;PW;216-4_PW;60;MEL_c;21;PS_dom;20.5;1.4;0;0;0;8.2;2.8;11;0;0;0;0;7.2;0;18.2;0;47.8;2.5;1;FA;50;MOL;50;20.7;20.7;20.6;20.7;0.1
219;2191;1;219-1;E;2191-E;PE;219-1_PE;0;PS_pur_c;5;PS_pur;23.4;0;0;0;0;0;0;0;0;0;0;0;31.6;0;31.6;0;47.8;2.5;1;FA;80;NA;NA;24.5;24.5;23.8;24.3;0.4
219;2191;1;219-1;N;2191-N;PN;219-1_PN;0;PS_pur_c;5;PS_pur;23.4;1.9;0;0;0;0;0;0;0;0;0;0;27.4;0;27.4;0;47.8;2.5;1;FA;70;MOL;20;24.8;24.7;24.6;24.7;0.1
219;2191;1;219-1;S;2191-S;PS;219-1_PS;0;PS_pur_c;5;PS_pur;23.4;0.9;0;0;0;0;0;0;0;0;0;0;31.4;0;31.4;0;47.8;2.5;1;FA;80;NA;NA;22.4;21.9;21.9;22.1;0.3
219;2191;1;219-1;W;2191-W;PW;219-1_PW;0;PS_pur_c;5;PS_pur;23.4;2.3;0;0;0;0;0;0;0;0;0;0;20.4;0;20.4;0;47.8;2.5;1;FA;60;MOL;40;22.5;22.5;22.3;22.4;0.1
219;2194;4;219-4;E;2194-E;PE;219-4_PE;17;PS_dom_c;5;PS_pur;19.9;5.7;0;0;0;3.5;1.9;5.4;0;0;0;0;26.3;0;31.7;0;47.8;2.5;1;FA;60;MOL;10;21.4;21;20.3;20.9;0.6
219;2194;4;219-4;N;2194-N;PN;219-4_PN;9;PS_pur_c;5;PS_pur;19.9;0;0;0;0;1.9;0;1.9;0;0;0;0;19.7;0;21.6;0;47.8;2.5;1;FA;50;NA;NA;21.4;21;20.2;20.9;0.6
219;2194;4;219-4;S;2194-S;PS;219-4_PS;22;PS_dom_c;5;PS_pur;19.9;0;0;0;1.9;4.6;0;6.5;0;0;0;0;23.4;0;29.9;0;47.8;2.5;1;FA;40;MOL;20;19;18.8;18.6;18.8;0.2
219;2194;4;219-4;W;2194-W;PW;219-4_PW;0;PS_pur_c;5;PS_pur;19.9;0;0;0;0;0;0;0;0;0;0;0;18.1;0;18.1;0;47.8;2.5;1;FA;75;MOL;25;19.3;19;18.7;19;0.3
245;2452;2;245-2;E;2452-E;PE;245-2_PE;18.2;PS_dom_c;28.2;PS_dom;22.7;0;0;0;2.7;5;0.2;7.9;0;0;0;0;35.5;0;43.4;0;47.8;2.4;1;FA;80;MOL;20;22.2;22.1;22;22.1;0.1
245;2452;2;245-2;N;2452-N;PN;245-2_PN;15.9;PS_dom_c;28.2;PS_dom;22.7;0;0;0;5;0;0;5;0.2;0;0;0;26.4;0;31.4;0;47.8;2.4;1;FA;80;MOL;20;24.8;24.2;23.9;24.3;0.5
245;2452;2;245-2;S;2452-S;PS;245-2_PS;32.8;MEL_c;28.2;PS_dom;22.7;0;0;0;8.4;0;0;8.4;0;0;0;0;17.2;0;25.6;0;47.8;2.4;1;MOL;80;FA;20;22.1;21.5;21.4;21.7;0.4
245;2452;2;245-2;W;2452-W;PW;245-2_PW;14.1;PS_dom_c;28.2;PS_dom;22.7;0;0;0;1.6;4.7;0;6.3;0;0;0;0;38.4;0;44.7;0;47.8;2.4;1;MOL;50;FA;50;23.1;22.8;22.5;22.8;0.3
255;2551;1;255-1;E;2551-E;PE;255-1_PE;91;CH_pur_c;68;CH_dom;23.4;0;0;0;0;23.6;0;23.6;0;0;0;0;2.2;0;25.8;0;47.8;2.4;1;FA;40;MOL;10;23.8;23.3;23.1;23.4;0.4
255;2551;1;255-1;N;2551-N;PN;255-1_PN;55;MEL_c;68;CH_dom;23.4;1.6;0;0;0;10.5;5.3;15.8;0;0;0;0;12.9;0;28.7;1.4;47.8;2.4;1;FA;80;MOL;20;22.4;22.2;21.8;22.1;0.3
255;2551;1;255-1;S;2551-S;PS;255-1_PS;80;CH_dom_c;68;CH_dom;23.4;0;2.6;0;0;17.4;2.2;19.6;0;0;0;0;5;0;24.6;3.2;47.8;2.4;1;FA;10;BRYO;5;26.4;26.2;25.8;26.1;0.3
255;2551;1;255-1;W;2551-W;PW;255-1_PW;32;MEL_c;68;CH_dom;23.4;0;5.1;0;6.9;0;0;6.9;0;0;0;0;14.4;0;21.3;0;47.8;2.4;1;FA;20;MOL;10;22.8;21.7;21.4;22;0.7
